First Name,Last Name,Title,Company Name for Emails,Industry,Keywords,Person Linkedin Url,Website,Company Linkedin Url,City,State,Country
Jasmine,Busson,Managing Partner,Globivest,venture capital & private equity,"investment fund,startups,impact investment,social investment,venture capital,fintech investment,social impact,new technology",http://www.linkedin.com/in/jasmine-busson-8215675a,http://www.globivest.com,http://www.linkedin.com/company/globivest,,,Lebanon
Khaled,Alwaleed,Founder and CEO,KBW Ventures,venture capital & private equity,,http://www.linkedin.com/in/khaledalwaleed,http://www.kbw-ventures.com,http://www.linkedin.com/company/kbw-ventures,,,Saudi Arabia
Nancy,Kaufman,Principal Owner & Executive Chairman,Beacon Capital,financial services,"impact investment,ir,pr,family office consulting,charitable causes,wealth creation & preservation,life sciences,oil,gas,real estate",http://www.linkedin.com/in/nancyyaiseltorreskaufman,http://www.beaconcapital.org,http://www.linkedin.com/company/beacon-capital-llc-,New York,New York,United States
Christopher,Deutsch,Founder,Lofty Ventures,venture capital & private equity,"chicago tech,angel investing,community,startups,earlystage ventures,mentoring,advising",http://www.linkedin.com/in/cdeutsch,http://www.loftyventures.com,http://www.linkedin.com/company/loftyventures,Chicago,Illinois,United States
Brett,Mikelsen,Partner,Clinton Capital,venture capital & private equity,"capital raisings,business & financial advice,business mentoring,shareholder engagement,networking opportunities,market advice & timing,start up investment,ipo strategy,partnerships,investment,venture capital,funding",http://www.linkedin.com/in/brettmikelsen,http://www.clintoncapitalpartners.com.au,http://www.linkedin.com/company/clinton-capital-partners,Sydney,New South Wales,Australia
James,Puckett,Managing Partner | Chief Financial Officer,Ecliptic Capital,venture capital & private equity,"operational strategy,operational scaling,founder focused,strategic scaling,operational excellence,vc 20,venture platform",http://www.linkedin.com/in/james-puckett-b882b516,http://www.ecliptic.capital,http://www.linkedin.com/company/eclipticcapital,Austin,Texas,United States
Surabhi,Bhadauria,Owner,MPGI,venture capital & private equity,,http://www.linkedin.com/in/surabhi-bhadauria-13793b28,http://www.mpgi.co,http://www.linkedin.com/company/mpgi,Kanpur,Uttar Pradesh,India
Glenn,Cameron,Managing Director,Cameron Ventures,investment management,,http://www.linkedin.com/in/cameronventuresllc,http://www.cameronvc.com,http://www.linkedin.com/company/cameron-ventures,Wilton,Connecticut,United States
Edouard,Ullmo,Co Chairman and CEO,Helios Capital,venture capital & private equity,"technology,venture capital,deep tech,frontier tech,disruptive tech,aerospace,artificial intelligence",http://www.linkedin.com/in/edouard-ullmo-a8393050,http://www.helioscapital.us,http://www.linkedin.com/company/helioscapital,Milan,Lombardy,Italy
Jane,Walerud,Partner,Walerud Ventures,information technology & services,,http://www.linkedin.com/in/janewalerud,http://www.walerud.com,http://www.linkedin.com/company/walerud-ventures,Stockholm,Stockholm County,Sweden
