Name,Logo,Site,Funding Rounds,Location(s),Notes
Aligned Partners,f01ae3f6f8dafa6d25c65fabef5496e2.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/j3rE_kniovjy-Mx9tRTkYA/Zf3BzyufIdp4oTBz3WED5c5IFb9DXwGPx2RUQfxu6a1vEhemtDUjn0LYyqEAZmLgNP6Mo2q7PcqM4Kq0Qi0XAOGvSyKWWXHj4NpnBxgn0BD9e0pplJNaXhiWHru9l-Sw/ZThnZDZlLnoGhdbpOYc0W2aR2P_AbJ-3IbKE1NkOIVo),http://alignedvc.com/,Aligned Partners II,SF Bay Area/Silicon Valley,
Alpha Venture Partners,alpha_ventures_partners.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/Zk6Y8svJKtpZ137tMQUEXw/-kS1dts7pdyk7LFsTQvj24Wb-09bN3lnJVUoED1rR0Ann0CFkTMrZhGpgRzy9MJeSm7o7JGXV2wFH19wzBAQsomAWf-7a6kVaqxTADJ-UDaOZb45yKox2MFnHRsPqPpW/pSxZNwtV0osPGqRvi5oF9bj0v_exYy6QkNsGE0yiMUs),http://www.alphavp.com/,Alpha Venture Partners I,"""New York, NY""",
Alsop Louie,alsop_louie.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/b4bOtpVXo25dPFfXjPX4gw/n_DoVgYpJPRCE0CZxBGmSrnOy1_X_XEMEgMJNyJ1ci1gZROriDZdTa1TDz13XIM2olLUG9UdMbeYp2BR3hW2PIxtxJ-3f3KL2wejCMFk-n8/vmIqjml8prwqOO0UE4denI19gwBke2COHgBhdCdeIZ0),http://www.alsop-louie.com/,Alsop Louie III,SF Bay Area/Silicon Valley,
Altos Ventures,altos_ventures.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/cWO10ZV-4FkrALLHsHdhVw/AvOy9Mm5QTT1mwl0JAd7TgjbRqqbjENdA7ot9yRj2QlbDFwsG-Dgcc-hmkcfMpWzoZMIaQXcE_xibpn8rlrov4amNRS9D7F_grNtOr8Rn8Q/4WhvGGWgo-qsKF6g-6IUDKPQ8XvjeIuZ84E5_V8ASd0),http://www.altos.vc/,"Altos Ventures I,Altos Ventures II","SF Bay Area/Silicon Valley,Seoul",
Ameba Capital,,,Ameba Capital II,Hong Kong,
Amplify Partners,090c8f938467b740370ce482c709c058.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/UzLvRavNF942EzN2gNvdfw/RmM4paHV-4DX59EsVnAFB9-LOnFLZob85i_cMxgNBnXxNguTtU8R3EoRNi3-334tuV3AE2mkfLA9cKAToOmrsriCVQSFW98peyIVo7FiDcW9Xo76bA2Sdnd1IxfApcYZ/nDgs_wJKaVB0lkhGmL6mTtGJ8kea_gDgGrg2nMkagnc),http://www.amplifypartners.com/,"Amplify Partners II,Amplify Partners I","SF Bay Area/Silicon Valley,Boston/Cambridge",
Amplify.LA,a6n2dcrl0yyejsen1ber.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/H3BGSpABB8zRzM5yYb4uGw/26T-3MaNFULfzjbjf_lBeFJewd-4CdhIOHNfPo2kjJUoTIaAGJuq7fEDjsjB8F2R67bSKsI1rUPaDVqi3CM3TkRedTtObZ8IRgVXV-d_11FW5i63Irbt8om-4J5uiHJn/t0cJZQIt0yO5fuSFWyX0KRdi6KAQO2kNApnxNcCRC7Q),http://amplify.la/,Amplify.LA II,Los Angeles,
Aperture Venture Partners,8aa6f1c2ea872b0d06534eee5d34d73a.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/1dbVrXgsBnAGgVaWIApWPA/a05jc1hD_Y0XM3uuw2k4ukIM1q2e-H1IQ-sKW3iYLKnBlgIeMCO_ZSzs3Z968okyfHVIoKTrLKOZVJP00BaHLwA0bwvvC66NLh7aSP32Yb5wGu1V0MszYSm-9HMK_eH9/YGOGA1A0p-r6m0O8Wolqtox2F91IqCjQA25dKhovmYI),http://www.aperturevp.com/,Aperture Venture Partners III,"""New York, NY""",
Arthur Ventures,arthur_ventures.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/pf-xaERN0hAbMQw8RBbGNA/miH2TED5Dw0F9TADy5dLtYVpaJb-Ig9I0Hz4XWVEaNLrdnBPizbmkF89I72Logz8tW0WUPfbV0kPSRMgMDpvGUux_ZRkRBPAVX7S4URa7f4/iEExNh5P3FEkHH0OgGbx0JqBAyEbNPrekTTQ-98mqlg),http://arthurventures.com/,Arthur Ventures II,"""Minneapolis, MN"",""Fargo, ND""",
Aspect Ventures,aspect_ventures.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/t-0bU9FGaIGpaKGAIfXdng/4WXPFrtSbBRbTvqxZXaMYZcuqayeRO65qtMTAc9XqWiJx0JuJcoZUC0rij3hNukrW9tyWmCaMSy8jSdSMQQTgCyn8_fchmIteTLxuGsrrFY/fNVK-Pr0mShL-ykRiFkUbkj744JumvodRfKcuzM9Tms),http://www.aspectventures.com/,Aspect Ventures I,SF Bay Area/Silicon Valley,
B-to-v Partners,tsxkignvzns4z3yw3pau.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/RWRypZSRWa02AHUoPZM-NA/XcpDf3I1r5IBhTa7PyTBE7_ohhL_TQF8FGJtMlGcl0isHUeaXmu1oN2w-mn6WRfsJnjoED0WkUUHalWVvcfOyDIR15kPSLYDNYMiYj592nNGh4pMy1gOC3P02HAcxjO2/vMVon8sx0Gb_Cp9WDVth-48mm9L5mRlyIVyiFc6aieo),http://www.b-to-v.com/,B-to-v Partners III,"Berlin,""St. Gallen, Switzerland"",Luxembourg",
BBVA Ventures,38a2ee594f3141af6182f435e804728a.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/9veuh4-C3_fbR6hz_D_4Rw/Ytvdr-Wa778W_-Nx7_1cvSm6dqCT-jD3HdO58c0ChekLQROie_o_9K2sxuSMAU1ajNIKQc4BAV8aPIKdeKLc2DCDienW_Npta1D9eNNTOfGzHgmm6Yrz7S54-9-6p6th/4In_EGxPlRJlLNqpmj9kIbzxgO6ry5doQ8qDplvU4iY),http://bbvaventures.com/,BBVA Ventures I,"Madrid,SF Bay Area/Silicon Valley",Closed 2/11/16
Bee Partners,hiezkgml1tus5dkxjeud.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/uJ9s2kj8HRH4js8mfPUetw/1zZZ_xFOorkMAJxvHZrNRA5tLDYWh_GpdFppFnKWzc5CngoOmBZVZKc2GV1GSf9Fj63hLjzLJl-OGoK1PVjinJ3lc_hSHxXswVkcsCQdStU5tsj2kPCiQrHD-9fTeLJe/w3hZErqR9_WQnVtBR8ozNXU71lzbCAyirHEkeKdRp_4),http://beepartners.vc/,"Bee Partners II,Bee Partners I",SF Bay Area/Silicon Valley,
Benhamou Global Ventures,fc39e8e9eed001df773b3c4fbf56ef51.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/ymuTWKOwfWtjCYpCpnMbXA/KrM9KzM1NJSNcCSagnGZWK4y_kRILo7NVT18KODlatBT-24VpB3iSO05eyIW11u-zhijGTe42QyBj-HowGxvJW4aKsLxKS-yqcupC4XHBKQrXHps9BMKlyMW6HIoVWml/p9KRI90VX12Mjo9BUn0G47a1xjxJ-w14EYTmWYyvzcQ),http://benhamouglobalventures.com/,Benhamou Global Ventures III,SF Bay Area/Silicon Valley,
Binary Capital,ni2nou06uafinorvxnbs.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/b2O9E8qdMYIIYyDbFnIg8g/VMQeoOORaPWvwTG9G8m-el5Or8lscD2v7jdDKOggEuohbZH5vY6SpTFzWJ_byTKAnzqAvLb9bMA5kweZKF9Fe9CWwstWkQo2hfo0S8SbvinmJFdzcuQRCGiVzhw0dO6W/S2NWdTC8EtAh_IuLssKFhAefzZPWFqv1zKwW7qBBBUM),http://www.binarycap.com/,"Binary Capital II,Binary Capital I",SF Bay Area/Silicon Valley,
Blackbird Ventures,ce8300e3ade180ec05e8839e86d11917.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/saGzGfjUQCRobXYrQb60Fg/lgVfscE4KXJem975eaK-smhxOCc_II5cVRwTR3Uppn3BAbMNdXu2f03hkRtJWdjPmAhxdweP-fBAUl_BvQ2Ido4154pEluDQxQrTmmyONUEvXMsyTECQMHsEZs_F0RJ4/Qe6agwiVOdTeoNGHg01xG1uMsNO1r-w2OM5KTjPNplQ),http://www.blackbird.vc/,Blackbird Ventures I,Sydney,
